% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
7.109	2	2	711	10	1	28	2292	0
7.205	1	1	721	6	1	28	2292	0
7.205	2	2	721	6	1	28	2292	0
7.209	1	1	721	10	1	28	2292	0
7.209	2	2	721	10	1	28	2292	0
7.305	1	1	731	6	1	28	2292	0
7.305	2	2	731	6	1	28	2292	0
7.309	1	1	731	10	1	28	2292	0
7.309	2	2	731	10	1	28	2292	0
7.405	1	1	741	6	1	28	2292	0
7.405	2	2	741	6	1	28	2292	0
7.409	1	1	741	10	1	28	2292	0
7.409	2	2	741	10	1	28	2292	0
7.505	1	1	751	6	1	28	2292	0
7.505	2	2	751	6	1	28	2292	0
7.509	1	1	751	10	1	28	2292	0
7.509	2	2	751	10	1	28	2292	0
7.605	1	1	761	6	1	28	2292	0
7.605	2	2	761	6	1	28	2292	0
7.609	1	1	761	10	1	28	2292	0
7.609	2	2	761	10	1	28	2292	0
7.705	1	1	771	6	1	28	2292	0
7.705	2	2	771	6	1	28	2292	0
7.709	1	1	771	10	1	28	2292	0
7.709	2	2	771	10	1	28	2292	0
7.805	1	1	781	6	1	28	2292	0
7.805	2	2	781	6	1	28	2292	0
7.809	1	1	781	10	1	28	2292	0
7.809	2	2	781	10	1	28	2292	0
7.905	1	1	791	6	1	28	2292	0
7.905	2	2	791	6	1	28	2292	0
7.909	1	1	791	10	1	28	2292	0
7.909	2	2	791	10	1	28	2292	0
8.005	1	1	801	6	1	28	2292	0
8.005	2	2	801	6	1	28	2292	0
8.009	1	1	801	10	1	28	2292	0
8.009	2	2	801	10	1	28	2292	0
8.105	1	1	811	6	1	28	2292	0
8.105	2	2	811	6	1	28	2292	0
8.109	1	1	811	10	1	28	2292	0
8.109	2	2	811	10	1	28	2292	0
8.205	1	1	821	6	1	28	2292	0
8.205	2	2	821	6	1	28	2292	0
8.209	1	1	821	10	1	28	2292	0
8.209	2	2	821	10	1	28	2292	0
8.305	1	1	831	6	1	28	2292	0
8.305	2	2	831	6	1	28	2292	0
8.309	1	1	831	10	1	28	2292	0
8.309	2	2	831	10	1	28	2292	0
8.405	1	1	841	6	1	28	2292	0
8.405	2	2	841	6	1	28	2292	0
8.409	1	1	841	10	1	28	2292	0
8.409	2	2	841	10	1	28	2292	0
8.505	1	1	851	6	1	28	2292	0
8.505	2	2	851	6	1	28	2292	0
8.509	1	1	851	10	1	28	2292	0
8.509	2	2	851	10	1	28	2292	0
8.605	1	1	861	6	1	28	2292	0
8.605	2	2	861	6	1	28	2292	0
8.609	1	1	861	10	1	28	2292	0
8.609	2	2	861	10	1	28	2292	0
8.705	1	1	871	6	1	28	2292	0
8.705	2	2	871	6	1	28	2292	0
8.709	1	1	871	10	1	28	2292	0
8.709	2	2	871	10	1	28	2292	0
8.805	1	1	881	6	1	28	2292	0
8.805	2	2	881	6	1	28	2292	0
8.809	1	1	881	10	1	28	2292	0
8.809	2	2	881	10	1	28	2292	0
8.905	1	1	891	6	1	28	2292	0
8.905	2	2	891	6	1	28	2292	0
8.909	1	1	891	10	1	28	2292	0
8.909	2	2	891	10	1	28	2292	0
9.005	1	1	901	6	1	28	2292	0
9.005	2	2	901	6	1	28	2292	0
9.009	1	1	901	10	1	28	2292	0
9.009	2	2	901	10	1	28	2292	0
9.105	1	1	911	6	1	28	2292	0
9.105	2	2	911	6	1	28	2292	0
9.109	1	1	911	10	1	28	2292	0
9.109	2	2	911	10	1	28	2292	0
9.205	1	1	921	6	1	28	2292	0
9.205	2	2	921	6	1	28	2292	0
9.209	1	1	921	10	1	28	2292	0
9.209	2	2	921	10	1	28	2292	0
9.305	1	1	931	6	1	28	2292	0
9.305	2	2	931	6	1	28	2292	0
9.309	1	1	931	10	1	28	2292	0
9.309	2	2	931	10	1	28	2292	0
9.405	1	1	941	6	1	28	2292	0
9.405	2	2	941	6	1	28	2292	0
9.409	1	1	941	10	1	28	2292	0
9.409	2	2	941	10	1	28	2292	0
9.505	1	1	951	6	1	28	2292	0
9.505	2	2	951	6	1	28	2292	0
9.509	1	1	951	10	1	28	2292	0
9.509	2	2	951	10	1	28	2292	0
9.605	1	1	961	6	1	28	2292	0
9.605	2	2	961	6	1	28	2292	0
9.609	1	1	961	10	1	28	2292	0
9.609	2	2	961	10	1	28	2292	0
9.705	1	1	971	6	1	28	2292	0
9.705	2	2	971	6	1	28	2292	0
9.709	1	1	971	10	1	28	2292	0
9.709	2	2	971	10	1	28	2292	0
9.805	1	1	981	6	1	28	2292	0
9.805	2	2	981	6	1	28	2292	0
9.809	1	1	981	10	1	28	2292	0
9.809	2	2	981	10	1	28	2292	0
9.905	1	1	991	6	1	28	2292	0
9.905	2	2	991	6	1	28	2292	0
9.909	1	1	991	10	1	28	2292	0
9.909	2	2	991	10	1	28	2292	0
