% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
5115	1	1	1	0	28	2292	0	1	0
5115	2	2	1	0	28	2292	0	1	0
5211	1	1	1	0	28	2292	0	1	0
5211	2	2	1	0	28	2292	0	1	0
5215	1	1	1	0	28	2292	0	1	0
5215	2	2	1	0	28	2292	0	1	0
5311	1	1	1	0	28	2292	0	1	0
5311	2	2	1	0	28	2292	0	1	0
5315	1	1	1	0	28	2292	0	1	0
5315	2	2	1	0	28	2292	0	1	0
5411	1	1	1	0	28	2292	0	1	0
5411	2	2	1	0	28	2292	0	1	0
5415	1	1	1	0	28	2292	0	1	0
5415	2	2	1	0	28	2292	0	1	0
5511	1	1	1	0	28	2292	0	1	0
5511	2	2	1	0	28	2292	0	1	0
5515	1	1	1	0	28	2292	0	1	0
5515	2	2	1	0	28	2292	0	1	0
5611	1	1	1	0	28	2292	0	1	0
5611	2	2	1	0	28	2292	0	1	0
5615	1	1	1	0	28	2292	0	1	0
5615	2	2	1	0	28	2292	0	1	0
5711	1	1	1	0	28	2292	0	1	0
5711	2	2	1	0	28	2292	0	1	0
5715	1	1	1	0	28	2292	0	1	0
5715	2	2	1	0	28	2292	0	1	0
5811	1	1	1	0	28	2292	0	1	0
5811	2	2	1	0	28	2292	0	1	0
5815	1	1	1	0	28	2292	0	1	0
5815	2	2	1	0	28	2292	0	1	0
5911	1	1	1	0	28	2292	0	1	0
5911	2	2	1	0	28	2292	0	1	0
5915	1	1	1	0	28	2292	0	1	0
5915	2	2	1	0	28	2292	0	1	0
6011	1	1	1	0	28	2292	0	1	0
6011	2	2	1	0	28	2292	0	1	0
6015	1	1	1	0	28	2292	0	1	0
6015	2	2	1	0	28	2292	0	1	0
6111	1	1	1	0	28	2292	0	1	0
6111	2	2	1	0	28	2292	0	1	0
6115	1	1	1	0	28	2292	0	1	0
6115	2	2	1	0	28	2292	0	1	0
6211	1	1	1	0	28	2292	0	1	0
6211	2	2	1	0	28	2292	0	1	0
6215	1	1	1	0	28	2292	0	1	0
6215	2	2	1	0	28	2292	0	1	0
6311	1	1	1	0	28	2292	0	1	0
6311	2	2	1	0	28	2292	0	1	0
