% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
6514	1	1	1	0	0	28	2196	0	1	1	0
6514	2	2	1	0	0	28	2196	0	1	1	0
6603	1	1	1	0	0	28	2196	0	1	1	0
6603	2	2	1	0	0	28	2196	0	1	1	0
6614	1	1	1	0	0	28	2196	0	1	1	0
6614	2	2	1	0	0	28	2196	0	1	1	0
6703	1	1	1	0	0	28	2196	0	1	1	0
6703	2	2	1	0	0	28	2196	0	1	1	0
6714	1	1	1	0	0	28	2196	0	1	1	0
6714	2	2	1	0	0	28	2196	0	1	1	0
6803	1	1	1	0	0	28	2196	0	1	1	0
6803	2	2	1	0	0	28	2196	0	1	1	0
6814	1	1	1	0	0	28	2196	0	1	1	0
6814	2	2	1	0	0	28	2196	0	1	1	0
6903	1	1	1	0	0	28	2196	0	1	1	0
6903	2	2	1	0	0	28	2196	0	1	1	0
6914	1	1	1	0	0	28	2196	0	1	1	0
6914	2	2	1	0	0	28	2196	0	1	1	0
7003	1	1	1	0	0	28	2196	0	1	1	0
7003	2	2	1	0	0	28	2196	0	1	1	0
7014	1	1	1	0	0	28	2196	0	1	1	0
7014	2	2	1	0	0	28	2196	0	1	1	0
7103	1	1	1	0	0	28	2196	0	1	1	0
7103	2	2	1	0	0	28	2196	0	1	1	0
7114	1	1	1	0	0	28	2196	0	1	1	0
7114	2	2	1	0	0	28	2196	0	1	1	0
7203	1	1	1	0	0	28	2196	0	1	1	0
7203	2	2	1	0	0	28	2196	0	1	1	0
7214	1	1	1	0	0	28	2196	0	1	1	0
7214	2	2	1	0	0	28	2196	0	1	1	0
7303	1	1	1	0	0	28	2196	0	1	1	0
7303	2	2	1	0	0	28	2196	0	1	1	0
7314	1	1	1	0	0	28	2196	0	1	1	0
7314	2	2	1	0	0	28	2196	0	1	1	0
7403	1	1	1	0	0	28	2196	0	1	1	0
7403	2	2	1	0	0	28	2196	0	1	1	0
7414	1	1	1	0	0	28	2196	0	1	1	0
7414	2	2	1	0	0	28	2196	0	1	1	0
7503	1	1	1	0	0	28	2196	0	1	1	0
7503	2	2	1	0	0	28	2196	0	1	1	0
7514	1	1	1	0	0	28	2196	0	1	1	0
7514	2	2	1	0	0	28	2196	0	1	1	0
7603	1	1	1	0	0	28	2196	0	1	1	0
7603	2	2	1	0	0	28	2196	0	1	1	0
7614	1	1	1	0	0	28	2196	0	1	1	0
7614	2	2	1	0	0	28	2196	0	1	1	0
7703	1	1	1	0	0	28	2196	0	1	1	0
7703	2	2	1	0	0	28	2196	0	1	1	0
7714	1	1	1	0	0	28	2196	0	1	1	0
7714	2	2	1	0	0	28	2196	0	1	1	0
7803	1	1	1	0	0	28	2196	0	1	1	0
7803	2	2	1	0	0	28	2196	0	1	1	0
7814	1	1	1	0	0	28	2196	0	1	1	0
7814	2	2	1	0	0	28	2196	0	1	1	0
7903	1	1	1	0	0	28	2196	0	1	1	0
7903	2	2	1	0	0	28	2196	0	1	1	0
7914	1	1	1	0	0	28	2196	0	1	1	0
7914	2	2	1	0	0	28	2196	0	1	1	0
8003	1	1	1	0	0	28	2196	0	1	1	0
8003	2	2	1	0	0	28	2196	0	1	1	0
8014	1	1	1	0	0	28	2196	0	1	1	0
8014	2	2	1	0	0	28	2196	0	1	1	0
8103	1	1	1	0	0	28	2196	0	1	1	0
8103	2	2	1	0	0	28	2196	0	1	1	0
8114	1	1	1	0	0	28	2196	0	1	1	0
8114	2	2	1	0	0	28	2196	0	1	1	0
8203	1	1	1	0	0	28	2196	0	1	1	0
8203	2	2	1	0	0	28	2196	0	1	1	0
8214	1	1	1	0	0	28	2196	0	1	1	0
8214	2	2	1	0	0	28	2196	0	1	1	0
8303	1	1	1	0	0	28	2196	0	1	1	0
8303	2	2	1	0	0	28	2196	0	1	1	0
8314	1	1	1	0	0	28	2196	0	1	1	0
8314	2	2	1	0	0	28	2196	0	1	1	0
8403	1	1	1	0	0	28	2196	0	1	1	0
8403	2	2	1	0	0	28	2196	0	1	1	0
8414	1	1	1	0	0	28	2196	0	1	1	0
8414	2	2	1	0	0	28	2196	0	1	1	0
8503	1	1	1	0	0	28	2196	0	1	1	0
8503	2	2	1	0	0	28	2196	0	1	1	0
8514	1	1	1	0	0	28	2196	0	1	1	0
8514	2	2	1	0	0	28	2196	0	1	1	0
8603	1	1	1	0	0	28	2196	0	1	1	0
8603	2	2	1	0	0	28	2196	0	1	1	0
8614	1	1	1	0	0	28	2196	0	1	1	0
8614	2	2	1	0	0	28	2196	0	1	1	0
8703	1	1	1	0	0	28	2196	0	1	1	0
8703	2	2	1	0	0	28	2196	0	1	1	0
8714	1	1	1	0	0	28	2196	0	1	1	0
8714	2	2	1	0	0	28	2196	0	1	1	0
8803	1	1	1	0	0	28	2196	0	1	1	0
8803	2	2	1	0	0	28	2196	0	1	1	0
8814	1	1	1	0	0	28	2196	0	1	1	0
8814	2	2	1	0	0	28	2196	0	1	1	0
8903	1	1	1	0	0	28	2196	0	1	1	0
8903	2	2	1	0	0	28	2196	0	1	1	0
8914	1	1	1	0	0	28	2196	0	1	1	0
8914	2	2	1	0	0	28	2196	0	1	1	0
9003	1	1	1	0	0	28	2196	0	1	1	0
9003	2	2	1	0	0	28	2196	0	1	1	0
9014	1	1	1	0	0	28	2196	0	1	1	0
9014	2	2	1	0	0	28	2196	0	1	1	0
9103	1	1	1	0	0	28	2196	0	1	1	0
9103	2	2	1	0	0	28	2196	0	1	1	0
9114	1	1	1	0	0	28	2196	0	1	1	0
9114	2	2	1	0	0	28	2196	0	1	1	0
9203	1	1	1	0	0	28	2196	0	1	1	0
9203	2	2	1	0	0	28	2196	0	1	1	0
9214	1	1	1	0	0	28	2196	0	1	1	0
9214	2	2	1	0	0	28	2196	0	1	1	0
9303	1	1	1	0	0	28	2196	0	1	1	0
9303	2	2	1	0	0	28	2196	0	1	1	0
9314	1	1	1	0	0	28	2196	0	1	1	0
9314	2	2	1	0	0	28	2196	0	1	1	0
9403	1	1	1	0	0	28	2196	0	1	1	0
9403	2	2	1	0	0	28	2196	0	1	1	0
9414	1	1	1	0	0	28	2196	0	1	1	0
9414	2	2	1	0	0	28	2196	0	1	1	0
9503	1	1	1	0	0	28	2196	0	1	1	0
9503	2	2	1	0	0	28	2196	0	1	1	0
9514	1	1	1	0	0	28	2196	0	1	1	0
9514	2	2	1	0	0	28	2196	0	1	1	0
9603	1	1	1	0	0	28	2196	0	1	1	0
9603	2	2	1	0	0	28	2196	0	1	1	0
9614	1	1	1	0	0	28	2196	0	1	1	0
9614	2	2	1	0	0	28	2196	0	1	1	0
9703	1	1	1	0	0	28	2196	0	1	1	0
9703	2	2	1	0	0	28	2196	0	1	1	0
9714	1	1	1	0	0	28	2196	0	1	1	0
9714	2	2	1	0	0	28	2196	0	1	1	0
9803	1	1	1	0	0	28	2196	0	1	1	0
9803	2	2	1	0	0	28	2196	0	1	1	0
9814	1	1	1	0	0	28	2196	0	1	1	0
9814	2	2	1	0	0	28	2196	0	1	1	0
9903	1	1	1	0	0	28	2196	0	1	1	0
9903	2	2	1	0	0	28	2196	0	1	1	0
9914	1	1	1	0	0	28	2196	0	1	1	0
9914	2	2	1	0	0	28	2196	0	1	1	0
